Title,Average rating,Date published
The Shining,4.26,1977
It,4.25,1986
The Stand,4.34,1978
Misery,4.21,1987
Carrie,3.98,1974
The Gunslinger,3.93,1982
Pet Sematary,4.04,1983
11/22/63,4.32,2011
'Salem's Lot,4.0933514971209215,1975
The Green Mile,4.47,1996
Mr. Mercedes,3.99,2014
Under the Dome,3.91,2009
The Outsider,4.0,2018
The Drawing of the Three,4.23,1987
Cujo,3.76,1981
Doctor Sleep,4.12,2013
The Institute,4.2,2019
Needful Things,3.95,1991
The Waste Lands,4.25,1991
Christine,3.82,1983
Different Seasons,4.35,1982
Firestarter,3.91,1980
The Dead Zone,3.95,1979
Wizard and Glass,4.25,1997
Cell,3.66,2006
Bag of Bones,3.91,1998
Wolves of the Calla,4.19,2003
The Dark Tower,4.27,2004
Night Shift,4.03,1978
Dreamcatcher,3.65,2001
Song of Susannah,3.99,2004
Joyland,3.93,2013
Insomnia,3.83,1994
Dolores Claiborne,3.91,1992
The Girl Who Loved Tom Gordon,3.62,1999
Finders Keepers,4.06,2015
Gerald's Game,3.56,1992
Desperation,3.85,1996
The Dark Half,3.8,1989
Billy Summers,4.23,2021
The Tommyknockers,3.58,1987
The Talisman,4.12,1984
Fairy Tale,4.17,2022
Skeleton Crew,3.97,1985
The Eyes of the Dragon,3.94,1987
The Running Man,3.89,1982
Duma Key,3.96,2008
End of Watch,4.09,2016
Revival,3.8,2014
Later,3.99,2021
"Full Dark, No Stars",4.07,2011
Elevation,3.66,2018
Four Past Midnight,3.94,1990
Rose Madder,3.74,1995
Everything's Eventual,3.97,2002
Hearts in Atlantis,3.85,1999
The Wind Through the Keyhole,4.15,2012
Nightmares and Dreamscapes,3.95,1993
If It Bleeds,4.0,2020
Lisey's Story,3.7,2006
Sleeping Beauties,3.73,2017
Gwendy's Button Box,3.92,2017
Black House,4.03,2001
From a Buick 8,3.47,2002
The Bazaar of Bad Dreams,3.92,2015
Cycle of the Werewolf,3.66,1983
Just After Sunset,3.88,2008
The Colorado Kid,3.38,2005
Gwendy's Final Task,4.11,2022
Thinner,3.76,1984
The Long Walk,4.09,1979
The Regulators,3.72,1996
Blaze,3.75,2007
Rage,3.74,1977
Roadwork,3.6,1981
